"Reason for Credit Entry","Sub Order No","Order Date","Customer State","Product Name","SKU","Size","Quantity","Supplier Listed Price (Incl. GST + Commission)","Supplier Discounted Price (Incl GST and Commision)","Packet Id"
"DELIVERED","123836008383187712_1","2025-02-19","Kerala","SYGA 4 Pcs Baby Safety Plastic Locks | Child Proof Cabinets, Drawers, Appliances, Toilet Seat, Fridge and Oven | Tools Not Required | Uses Dual Adhesive Tape and Latch System (Blue)","Baby Safety Cabinet Locks_4 Pcs","Free Size","1","80.0","78.0",
"DELIVERED","123835987532216704_1","2025-02-19","Uttar Pradesh","SYGA Baby Safety Strip Furniture Edge Guard Cushion Corner Cover 2 Meter 6.5 feet Tape Infant Bump Protector (L Shape_Brown)","Safety Strip Guard Protector_Brown","Free Size","2","110.0","107.0",
"CANCELLED","123836341183308288_1","2025-02-19","Uttar Pradesh","SYGA Baking Stainless Steel Shaker Sieve Cup Manual Flour Sifter with Measuring Scale Mark for Flour Icing Sugar","FlourCup","Free Size","1","171.0","171.0",
"DELIVERED","123836390738913985_1","2025-02-19","Maharashtra","SYGA 4 Pcs Baby Safety Plastic Locks | Child Proof Cabinets, Drawers, Appliances, Toilet Seat, Fridge and Oven | Tools Not Required | Uses Dual Adhesive Tape and Latch System (Blue)","Baby Safety Cabinet Locks_4 Pcs","Free Size","1","80.0","80.0",
"CANCELLED","123836648311122688_1","2025-02-19","Uttar Pradesh","SYGA Beads for Kids Crafts Children's Jewellery Making Set Kit DIY Bracelets Necklace Hairband and Rings Craft Kits Birthday for 4, 5, 6, 7-Year-Old Little Girls-Multicolor, QL-00012","Beads_QL-0012","Free Size","1","245.0","238.0",
"DELIVERED","123836594297837376_1","2025-02-19","Tamil Nadu","SYGA Baby Safety 4 Corner Guard & 1 Edge Guard with Strong Tape for Baby Safety and Child Proofing(Brown)","EdgeCornerCombo_Brown","Free Size","1","119.0","116.0",
"DELIVERED","123836560683723456_1","2025-02-19","Uttar Pradesh","Syga Bed Fence Gate Security Guard Railing Playpens Rail for Newborn Baby (Cream, 1.5 m)","CreamBedRail_1.5m","Free Size","1","1000.0","970.0",
"DELIVERED","123836641814145728_1","2025-02-19","Rajasthan","SYGA Manual Breast Pump with Feeding Nipple","ManualFeedingPump","Free Size","1","253.0","246.0",
"DELIVERED","123837262915070720_1","2025-02-19","Daman & Diu","SYGA Baby Cap Turban Big Flower Cotton Baby cap Unisex with Soft Cute Hat Toddler Infant Hat 6 Month-4 Years - Yellow ","PrintedFlowerHat-Yellow","3-4 Years","1","130.0","130.0",
"DELIVERED","123837559683185024_1","2025-02-19","Bihar","SYGA Baby Shower Party Photo Booth Props (Set of 30)","Set Of 30 Baby Shower Photo Booth Props","Free Size","1","137.0","137.0",
"DELIVERED","123837913032325504_1","2025-02-19","Rajasthan","SYGA Baby Turban Winter Cap Handmade Woolen Warm Knit Infant Toddler Unisex Baby Hat 0-3 Years (Gray)","BabyHatButton-Gray","Free Size","1","137.0","137.0",
"DELIVERED","123838096223832832_1","2025-02-19","Assam","Generic 12Pcs Woodworking Wood Carving Hand Chisel Professional Tool Set","WoodCarvingTool_12 Gen","Free Size","1","770.0","770.0",
"DELIVERED","123838050357897984_1","2025-02-19","Tamil Nadu","SYGA 5 Pcs Children Safety No Finger Pinch Foam Door Stopper. Colorful Cartoon Animal Cushion - Ramdom Bundled Baby Child Kid Cushiony Finger Hand Safety, Curve Shaped Door Stop Guard","1Safety Door Guard Stopper_5 Pcs","Free Size","1","93.0","91.0",
"DELIVERED","123838538625350016_1","2025-02-19","Kerala","SYGA 4 Pcs Baby Safety Plastic Locks | Child Proof Cabinets, Drawers, Appliances, Toilet Seat, Fridge and Oven | Tools Not Required | Uses Dual Adhesive Tape and Latch System (Blue)","Baby Safety Cabinet Locks_4 Pcs","Free Size","1","80.0","80.0",
"CANCELLED","123838712772717248_1","2025-02-19","Tamil Nadu","SYGA 3 Pcs Baby Girl Headband Soft Flower Bow Strechable Hairband Suitable For Newborns, Infants, Toddlers and Kids 0-3 Years(Pink Bow/Silver Crown)","HB-77","Free Size","1","240.0","240.0",
"DELIVERED","123838928364272000_1","2025-02-19","Haryana","SYGA Luxe Leather Waist Belt With Gold Geometric Buckle(Black)","WAISTBELT-251","Free Size","1","160.0","160.0",
