order-id	tracking-id	expected-ship-date	asin	sku	product-name	quantity-purchased	invoice-id	package-identifier	ship-service-level	is-prime	pickup-slot	order-item-id	purchase-date	ship-postal-code	ship-country	ship-city	ship-state	carrier	verge-of-cancellation	verge-of-lateShipment
404-8611435-1280311	347836460135	2025-02-18T18:29:59+00:00	B0D2HB2RGL	WAISTBELT-73	SYGA Women Waist Chain Embroidered Dress, Gold or Midnight, Thin Metal Design	1	IN-310088	404-8611435-1280311	Standard	true	Tue, Feb 18 2025, 4:00 PM-5:00 PM	46702359646482	2025-02-17T17:24:05+00:00	560029	IN	BENGALURU	KARNATAKA	ATS	false	true
404-4748073-7836363	347836412264	2025-02-18T18:29:59+00:00	B0D22JCGD6	SWIM-12	SYGA Children's Swimsuit Long Sleeve Seahorse Unicorn-XL Size Perfect for Kids Age 7-8 Years Old (Pink)	1	IN-310142	404-4748073-7836363	Standard	true	Tue, Feb 18 2025, 4:00 PM-5:00 PM	46702205288202	2025-02-17T18:28:21+00:00	421503	IN	BADLAPUR	MAHARASHTRA	ATS	false	true
404-9827339-7481965	347836412288	2025-02-18T18:29:59+00:00	B0D22M2SFC	SWIM-23	SYGA Children's Swimsuits for Girls Purple Crown Unicorn-L Size Perfect for Kids Age 5-6 Years Old (Purple)	1	IN-310060	404-9827339-7481965	Standard	true	Tue, Feb 18 2025, 4:00 PM-5:00 PM	46700136004082	2025-02-17T16:48:05+00:00	562114	IN	Hoskote	KARNATAKA	ATS	false	true
403-6611535-2500300	347836412295	2025-02-18T18:29:59+00:00	B09GFV11D4	PrintedFlowerHat_Pink&Blue	SYGA Baby Turban Hat, Toddler Beanie Cap Infant Hat 6 Month-4 Years Cotton Floral Baby Cap Headwear Unisex With Big Flower Soft Cute Hat, Pink & Blue Floral, 1 Count	1	IN-309968	403-6611535-2500300	Standard	true	Tue, Feb 18 2025, 4:00 PM-5:00 PM	46697836803162	2025-02-17T14:18:40+00:00	122017	IN	GURUGRAM	HARYANA	ATS	false	true
406-4735190-6326736	347836412301	2025-02-18T18:29:59+00:00	B0D2HB2RGL	WAISTBELT-73	SYGA Women Waist Chain Embroidered Dress, Gold or Midnight, Thin Metal Design	1	IN-310096	406-4735190-6326736	Standard	true	Tue, Feb 18 2025, 4:00 PM-5:00 PM	46702429634642	2025-02-17T17:30:49+00:00	700013	IN	KOLKATA	WEST BENGAL	ATS	false	true
402-2529256-0018758	347836460159	2025-02-18T18:29:59+00:00	B0D22M2SFC	SWIM-23	SYGA Children's Swimsuits for Girls Purple Crown Unicorn-L Size Perfect for Kids Age 5-6 Years Old (Purple)	1	IN-309824	402-2529256-0018758	Standard	true	Tue, Feb 18 2025, 4:00 PM-5:00 PM	46693346476322	2025-02-17T10:29:01+00:00	411027	IN	PIMPRI CHINCHWAD	MAHARASHTRA	ATS	false	true
403-5018362-3893936	347836460807	2025-02-18T18:29:59+00:00	B0D22M2SFC	SWIM-23	SYGA Children's Swimsuits for Girls Purple Crown Unicorn-L Size Perfect for Kids Age 5-6 Years Old (Purple)	1	IN-310034	403-5018362-3893936	Standard	true	Tue, Feb 18 2025, 4:00 PM-5:00 PM	46699315141602	2025-02-17T16:02:39+00:00	626001	IN	Virudhunagar	TAMIL NADU	ATS	false	true
171-0156251-2781108	347836412325	2025-02-18T18:29:59+00:00	B07YNPQZC1	PlainCap_Orange	SYGA Unisex Small Plain Knitted Baby Cap - 1-3Years, Orange	1	IN-309854	171-0156251-2781108	Standard	true	Tue, Feb 18 2025, 4:00 PM-5:00 PM	46694603463682	2025-02-17T11:07:13+00:00	263153	IN	RUDRAPUR	UTTARAKHAND	ATS	false	true
171-1310722-8765146	347836460838	2025-02-18T18:29:59+00:00	B09NP3FQHN	WaistBelt-PinBuckle-Black	SYGA Women's PU leather Retro Pin Buckle Waist Belt Waist Size 29 Inch to 35 Inch, Black (Pack of 1)	1	IN-309897	171-1310722-8765146	Standard	true	Tue, Feb 18 2025, 4:00 PM-5:00 PM	46694013224882	2025-02-17T12:24:22+00:00	600107	IN	CHENNAI	TAMIL NADU	ATS	false	true
403-5254693-9215540	347836460845	2025-02-18T18:29:59+00:00	B09H35YC69	WaistChain-WP242-3	SYGA Pearl Waist Chain Belt Adjustable Decorative Belt Hollowed Tassel Waist Belts Suitable Size for Waist 26-40	1	IN-310131	403-5254693-9215540	Standard	true	Tue, Feb 18 2025, 4:00 PM-5:00 PM	46702333978482	2025-02-17T18:20:19+00:00	403714	IN	SAO JOSE DE AREAL	GOA	ATS	false	true
403-8969614-8392323	347836413551	2025-02-18T18:29:59+00:00	B0D1KJK4KR	WAISTBELT-11	SYGA Metal Hook Adjustable Waist Chain Women's Fashion Versatile Decorative Dress Personalized Chain Waist Slim Belt(Silver)	1	IN-310099	403-8969614-8392323	Standard	true	Tue, Feb 18 2025, 4:00 PM-5:00 PM	46701585315962	2025-02-17T17:35:12+00:00	110070	IN	NEW DELHI	DELHI	ATS	false	true
408-8538248-1897123	347836408731	2025-02-18T18:29:59+00:00	B09H35YC69	WaistChain-WP242-3	SYGA Pearl Waist Chain Belt Adjustable Decorative Belt Hollowed Tassel Waist Belts Suitable Size for Waist 26-40	1	IN-309912	408-8538248-1897123	Standard	true	Tue, Feb 18 2025, 4:00 PM-5:00 PM	46695611899122	2025-02-17T12:39:13+00:00	122002	IN	GURUGRAM	HARYANA	ATS	false	true
405-6807135-7066762	347836413544	2025-02-18T18:29:59+00:00	B09H35YC69	WaistChain-WP242-3	SYGA Pearl Waist Chain Belt Adjustable Decorative Belt Hollowed Tassel Waist Belts Suitable Size for Waist 26-40	1	IN-309971	405-6807135-7066762	Standard	true	Tue, Feb 18 2025, 4:00 PM-5:00 PM	46697430187082	2025-02-17T14:29:34+00:00	453556	IN	Indore	MADHYA PRADESH	ATS	false	true
171-3162037-9266750	347836408755	2025-02-18T18:29:59+00:00	B09NP3FQHN	WaistBelt-PinBuckle-Black	SYGA Women's PU leather Retro Pin Buckle Waist Belt Waist Size 29 Inch to 35 Inch, Black (Pack of 1)	1	IN-309938	171-3162037-9266750	Standard	true	Tue, Feb 18 2025, 4:00 PM-5:00 PM	46696530938762	2025-02-17T13:24:21+00:00	797001	IN	KOHIMA	NAGALAND	ATS	false	true
407-6525368-4190720	347836460661	2025-02-18T18:29:59+00:00	B0D2HB2RGL	WAISTBELT-73	SYGA Women Waist Chain Embroidered Dress, Gold or Midnight, Thin Metal Design	1	IN-310121	407-6525368-4190720	Standard	true	Tue, Feb 18 2025, 4:00 PM-5:00 PM	46702785920162	2025-02-17T18:04:31+00:00	303007	IN	BAGRU	RAJASTHAN	ATS	false	true
406-8602725-8448313	164608068036	2025-02-18T18:29:59+00:00	B0CM3P4H3B	WC-47	SYGA Warm Winter Knitted Hat Women Fashion Beanie Winter Cap (Above 15 Year) Black	1	IN-310020	406-8602725-8448313	SecondDay	true	Tue, Feb 18 2025, 4:00 PM-5:00 PM	46699388989162	2025-02-17T15:50:42+00:00	400037	IN	MUMBAI	MAHARASHTRA	ATS	true	false
408-5350020-9262743	347836408779	2025-02-18T18:29:59+00:00	B0CM3WWJBY	WC-62	SYGA Winter Warm Ear Protection Knitted Cute Pompom Baby Hat (2-6 Year) Brown	1	IN-310097	408-5350020-9262743	Standard	true	Tue, Feb 18 2025, 4:00 PM-5:00 PM	46701714805762	2025-02-17T17:32:15+00:00	560034	IN	Bengaluru	KARNATAKA	ATS	false	true
405-0002861-2705917	347836413568	2025-02-18T18:29:59+00:00	B0CLXNPXLC	WC-32	SYGABalaclava Face Cover for Women Winter Cap Comfortable Scarf Mask Ear Neck Protection (Above 15 Year) Grey	1	IN-310153	405-0002861-2705917	Standard	true	Tue, Feb 18 2025, 4:00 PM-5:00 PM	46704130343202	2025-02-17T18:40:54+00:00	751003	IN	BHUBANESWAR	ODISHA	ATS	false	true
404-1016754-1396313	347836460692	2025-02-18T18:29:59+00:00	B0D2HB2RGL	WAISTBELT-73	SYGA Women Waist Chain Embroidered Dress, Gold or Midnight, Thin Metal Design	1	IN-310130	404-1016754-1396313	Standard	true	Tue, Feb 18 2025, 4:00 PM-5:00 PM	46703111557602	2025-02-17T18:19:29+00:00	122018	IN	GURUGRAM	HARYANA	ATS	false	true
