Qty,sku,Items,shipment_id,Qty MRP
1,Goggles-PigStyle- Green,1,11155792137,
1,Goggles-PigStyle- Green,1,11155984332,
1,LightingHairBand- F6,1,11154920395,
1,HB-285,1,11154685003,
1,GroomingSet_BlueDog,1,11156238353,
1,10-HairPin- Rainbow,1,11155194597,
1,NecklaceSet-Color4- PinkUnicorn,1,11154992115,
1,GL-283,1,11155874935,
1,Glasses- AntiBlueLight,1,11156852811,
1,SquareTowel- Dinosaur-110CM,1,11156496165,
1,CrownPink_Princess,1,11156823873,
1,10-HairPin- Butterfly,1,11156168371,
1,Goggles-EarTie- Pink,1,11156460249,
1,CrownStarHairBand_NewSilver,1,11154218052,
1,TwistSpoon- BlueSet,1,11156831928,
1,Goggles- TriangleCorner-Black,1,11156447087,
1,RoundBathCap_PolarBlue,1,11156633195,
1,SOCKS-SET5- HEART,1,11156496268,
1,WC-69,1,11154638148,
1,BS-04,1,11156523623,
1,BS-05,1,11156823832,
1,BS-76,1,11155804625,
1,BS-183,1,11156085189,
1,BS-78,1,11155592322,
1,BS-141,1,11156444652,
1,SOCKS-SET5- PURPLE-STRAW,1,11154930486,
1,BL-Packof3- WhitePurpleGrey-6-12M,1,11156803505,
1,BS-58,1,11156876948,
1,BL-Packof3- WhitePurpleGrey-6-12M,1,11155232588,
1,SOCKS-SET5- CLOUD,1,11156692762,
1,S_BabySocks_BlueCarrotRabbit,1,11155556180,
1,ScarfCap_Beige,1,11155842178,
1,BL-Packof3- BlackPinkDarkGrey-12-24M,1,11155839609,
1,BS-138,1,11155001169,
1,BS-141,1,11156617513,
1,BC-100,1,11156800655,
1,BS-147,1,11156849163,
1,SCHOOLBAG-50,1,11155832792,
1,BS-138,1,11155256186,
1,SCHOOLBAG-96,1,11156830926,
1,BS-78,1,11152303145,
1,BL-Packof3- BlackPinkGrey-0-6M,1,11156674858,
1,BS-07,1,11156170456,
1,S_BabySocksSet 1,1,11156439859,
1,BabyLeggings- Dotted-White-12-24M,1,11156037452,
1,BabyLeggings-Thin- White-0-6M,1,11156688886,
1,BL-Packof3- BlackPinkDarkGrey-4-6Y,1,11156407865,
1,WC-69,1,11156862248,
1,BabyLeggings- Dotted-White-12-24M,1,11156437391,
1,BL-Packof3- WhitePurpleGrey-12-24M,1,11155820767,
1,BabyBlanket_BlueDolphin,1,11156875794,
1,SocksSet_3,1,11155685034,
1,CutePuppyCap_Blue,1,11156823847,
1,Goggles-Modern- Black,1,11156179429,
1,SashBelt_BirthdayGirl&Crown_Bold,1,11156215359,
1,BabyBlanket_Monkey,1,11155842394,
1,SY-PandaCap- Khaki,1,11155285859,
1,Goggles-Modern- Black,1,11156522666,
1,BottleRack_Blue,1,11156186943,
1,BottleRack_Pink,1,11156416086,
1,CutePuppyCap_BridgeRed,1,11156872216,
1,18_PeachPinkHairClip,1,11156215613,
